MY_MMult_O0 = [
608 1.855415e+00 0.000000e+00 
624 1.938778e+00 0.000000e+00 
640 1.875149e+00 0.000000e+00 
656 1.930009e+00 0.000000e+00 
672 1.881699e+00 0.000000e+00 
688 1.912439e+00 0.000000e+00 
704 1.849495e+00 0.000000e+00 
720 1.882234e+00 0.000000e+00 
736 1.836977e+00 0.000000e+00 
752 1.869517e+00 0.000000e+00 
768 1.836352e+00 0.000000e+00 
784 1.871891e+00 0.000000e+00 
800 1.819435e+00 0.000000e+00 
816 1.863697e+00 0.000000e+00 
832 1.781797e+00 0.000000e+00 
848 1.798372e+00 0.000000e+00 
864 1.805051e+00 0.000000e+00 
880 1.828248e+00 0.000000e+00 
896 1.795269e+00 0.000000e+00 
912 1.851930e+00 0.000000e+00 
928 1.796256e+00 0.000000e+00 
944 1.835079e+00 0.000000e+00 
960 1.780037e+00 0.000000e+00 
976 1.827285e+00 0.000000e+00 
992 1.778099e+00 0.000000e+00 
1008 1.793687e+00 0.000000e+00 
1024 1.382690e+00 0.000000e+00 
];


MY_MMult_O3 = [
16 2.048000e+00 0.000000e+00 
32 1.985939e+00 0.000000e+00 
48 1.688427e+00 0.000000e+00 
64 1.340890e+00 0.000000e+00 
80 9.884170e-01 0.000000e+00 
96 1.418983e+00 0.000000e+00 
112 1.333581e+00 0.000000e+00 
128 1.444320e+00 0.000000e+00 
144 1.446347e+00 0.000000e+00 
160 1.611647e+00 0.000000e+00 
176 1.779300e+00 0.000000e+00 
192 1.789831e+00 0.000000e+00 
208 2.063734e+00 0.000000e+00 
224 2.135352e+00 0.000000e+00 
240 2.135310e+00 0.000000e+00 
256 2.085033e+00 0.000000e+00 
272 2.117833e+00 0.000000e+00 
288 2.090751e+00 0.000000e+00 
304 2.022203e+00 0.000000e+00 
320 1.934185e+00 0.000000e+00 
336 2.011777e+00 0.000000e+00 
352 2.035431e+00 0.000000e+00 
368 1.980095e+00 0.000000e+00 
384 1.966524e+00 0.000000e+00 
400 2.008536e+00 0.000000e+00 
416 1.998648e+00 0.000000e+00 
432 1.952002e+00 0.000000e+00 
448 1.953196e+00 0.000000e+00 
464 1.969740e+00 0.000000e+00 
480 1.942579e+00 0.000000e+00 
496 1.979976e+00 0.000000e+00 
512 1.717284e+00 0.000000e+00 
528 1.952176e+00 0.000000e+00 
544 1.876911e+00 0.000000e+00 
560 1.952124e+00 0.000000e+00 
576 1.843351e+00 0.000000e+00 
592 1.941420e+00 0.000000e+00 
608 1.854198e+00 0.000000e+00 
624 1.928178e+00 0.000000e+00 
640 1.858808e+00 0.000000e+00 
656 1.904180e+00 0.000000e+00 
672 1.820324e+00 0.000000e+00 
688 1.901169e+00 0.000000e+00 
704 1.812313e+00 0.000000e+00 
720 1.862766e+00 0.000000e+00 
736 1.805404e+00 0.000000e+00 
752 1.869316e+00 0.000000e+00 
768 1.704896e+00 0.000000e+00 
784 1.875972e+00 0.000000e+00 
800 1.773108e+00 0.000000e+00 
816 1.854996e+00 0.000000e+00 
832 1.773540e+00 0.000000e+00 
848 1.846769e+00 0.000000e+00 
864 1.774123e+00 0.000000e+00 
880 1.834901e+00 0.000000e+00 
896 1.761290e+00 0.000000e+00 
912 1.830587e+00 0.000000e+00 
928 1.761769e+00 0.000000e+00 
944 1.792379e+00 0.000000e+00 
960 1.722560e+00 0.000000e+00 
976 1.784974e+00 0.000000e+00 
992 1.744459e+00 0.000000e+00 
1008 1.780683e+00 0.000000e+00 
1024 1.346823e+00 0.000000e+00 
];

Blas_O0 = [
16 1.575385e-01 1.332268e-15 
32 1.638400e+01 2.664535e-15 
48 2.764800e+01 3.552714e-15 
64 2.912711e+01 4.440892e-15 
80 2.509189e-01 6.217249e-15 
96 2.999105e+01 7.105427e-15 
112 4.257358e+01 8.881784e-15 
128 4.712701e+01 1.065814e-14 
144 4.935511e+01 1.421085e-14 
160 7.953398e+01 1.598721e-14 
